"","partial.name","regex","full.name"
"6530","Eurogroup4Animals","eurogroup4animals",""
"6531","Bratislavský kraj: Kancelária BSK v Bruseli","bratislavský kraj kancelária bsk v bruseli",""
"6532","Ludia zvieratám","ludia zvieratám",""
"6533","Sloboda Zvierat","sloboda zvierat",""
"6534","Meps.sk","meps sk",""
"6535","IBMA","ibma",""
"6536"," PAN Europe","pan europe",""
"6537"," Arche Noah","arche noah",""
"6538"," Beelife","beelife",""
"6539"," Accueil Rothgerber","accueil rothgerber",""
"6540"," Fischbach","fischbach",""
"6541","WWF - World Wide Fund For Nature","wwf world wide fund for nature",""
"6542","European Association of Automotive Suppliers (CLEPA)","european association of automotive suppliers clepa",""
"6543","Platforma mimovládnych rozvojových organizácií (MVRO)","platforma mimovládnych rozvojových organizácií mvro",""
"6544","IKEA","ikea",""
"6545","Európske noviny","európske noviny",""
"6546","Hyundai-Kia Motor Group","hyundai kia motor group",""
"6547","Världsnaturfonden WWF Sverige (299330237015-12)","världsnaturfonden wwf sverige 299330237015 12",""
"6548"," Naturskyddsföreningen (681872220973-70)","naturskyddsföreningen 681872220973 70",""
"6549"," Greenpeace Sverige","greenpeace sverige",""
"6550","Fältbiologerna","fältbiologerna",""
"6551"," Jordens Vänner - Friends of the Earth Sweden","jordens vänner friends of the earth sweden",""
"6552"," Klimataktion","klimataktion",""
"6553","Svenska Djurskyddsföreningen","svenska djurskyddsföreningen",""
"6554","Djurens Rätt (734361235778-05)","djurens rätt 734361235778 05",""
"6555","United Nations Office for Disaster Risk Reduction","united nations office for disaster risk reduction",""
"6556","Swedish Permanent Represenation to the EU","swedish permanent represenation to the eu",""
"6557","Lantbrukarnas Riksförbund - LRF (79239225070-38)","lantbrukarnas riksförbund lrf 79239225070 38",""
"6558","PUSH","push",""
"6559","ECOLISE","ecolise",""
"6560","Svenska institutet för standarder - SIS","svenska institutet för standarder sis",""
"6561","Svenskt Näringsliv (39912257528-48)","svenskt näringsliv 39912257528 48",""
"6562","European Environmental Bureau - EEB (06798511314-27)","european environmental bureau eeb 06798511314 27",""
"6563","Skogsindustrierna (355702910008-47)","skogsindustrierna 355702910008 47",""
"6564","European Community Shipowners’ Associations","european community shipowners associations",""
"6565","Naturskyddsföreningen (681872220973-70)","naturskyddsföreningen 681872220973 70",""
"6566"," European Environmental Bureau (06798511314-27)","european environmental bureau 06798511314 27",""
"6567","Östersjöcentrum - Stockholms Universitet / Baltic Sea Center - Stockholm University","östersjöcentrum stockholms universitet baltic sea center stockholm university",""
"6568","Stockholm Environmental Institute (419874835766-5)","stockholm environmental institute 419874835766 5",""
"6569","Landsorganisationen Sverige - LO (673091017982-82)","landsorganisationen sverige lo 673091017982 82",""
"6570"," Tjänstemännens centralorganisation - TCO (86242309652-84)","tjänstemännens centralorganisation tco 86242309652 84",""
"6571"," Sveriges Akademikers Centralorganisation - SACO (263312725149-84)","sveriges akademikers centralorganisation saco 263312725149 84",""
"6572","Mistra (800250234837-97)","mistra 800250234837 97",""
"6573"," Linköpings Universitet - LiU (894332428190-55)","linköpings universitet liu 894332428190 55",""
"6574","PUSH Sverige","push sverige",""
"6575","International Federatio of Red Cross and Red Crescent Socitites (132236315085-89)","international federatio of red cross and red crescent socitites 132236315085 89",""
"6576","vinnova (917180932029-87)","vinnova 917180932029 87",""
"6577"," Sveriges Kommuner och Landsting (698580322266-37)","sveriges kommuner och landsting 698580322266 37",""
"6578"," Stockholm Region Association for European Affairs (89282627609-85)","stockholm region association for european affairs 89282627609 85",""
"6579","Ystad Hamn - Ehrenberg Sörensen Kommunikation (10342022616-20)","ystad hamn ehrenberg sörensen kommunikation 10342022616 20",""
"6580","Scania (3305029916-47)","scania 3305029916 47",""
"6581","Jernkontoret (76331988454-11)","jernkontoret 76331988454 11",""
"6582","Boliden (482997418651-48)","boliden 482997418651 48",""
"6583","IOGT-NTO (209014214900-39)","iogt nto 209014214900 39",""
"6584","Göteborgs universitet","göteborgs universitet",""
"6585","Nordenergi - Finsk Energi","nordenergi finsk energi",""
"6586"," Energi Norge","energi norge",""
"6587"," Dansk Energi","dansk energi",""
"6588"," Isländsk Energi","isländsk energi",""
"6589"," Energiföretagen Sverige (85161125283-02)","energiföretagen sverige 85161125283 02",""
"6590","Lantbrukarnas Riksförbund - LRF Ungdomsförbund (79239225070-38)","lantbrukarnas riksförbund lrf ungdomsförbund 79239225070 38",""
"6591","Sveriges Allmännytta (666936323716-89)","sveriges allmännytta 666936323716 89",""
"6592","Stockholm Environmental Institute (419874835766-57)","stockholm environmental institute 419874835766 57",""
"6593","Miljöfordon Sverige","miljöfordon sverige",""
"6594"," E.ON Sverige (72760517350-57)","e on sverige 72760517350 57",""
"6595","Livsmedelsföretagen (849925514506-35)","livsmedelsföretagen 849925514506 35",""
"6596"," Lantbrukarnas Riksförbund - LRF (79239225070-38)","lantbrukarnas riksförbund lrf 79239225070 38",""
"6597","Lärosäten Syd – Universities in South Sweden","lärosäten syd universities in south sweden",""
"6598"," Nordiska lärosäten i Bryssel","nordiska lärosäten i bryssel",""
"6599","UNDP Assistant Secretary-General","undp assistant secretary general",""
"6600","Svensk Handel (277625014294-80)","svensk handel 277625014294 80",""
"6601"," Teknikföretagen (257226411720-38)","teknikföretagen 257226411720 38",""
"6602"," Svenskt Näringsliv (39912257528-48)","svenskt näringsliv 39912257528 48",""
"6603"," Sveriges Byggindustrier","sveriges byggindustrier",""
"6604"," Skogsindustrierna (355702910008-47)","skogsindustrierna 355702910008 47",""
"6605","CEPS members","ceps members",""
"6606","CIVICO Europa","civico europa",""
"6607","TPN","tpn",""
"6608","Board meeting","board meeting",""
"6609","Lewiathan","lewiathan",""
"6610","EU-UK Forum","eu uk forum",""
"6611","UK Independent Monitoring Authority","uk independent monitoring authority",""
"6612","EPC","epc",""
"6613","European Construction Industry Federation","european construction industry federation",""
"6614"," 92221016212-42","92221016212 42",""
"6615","Transatlantic Policy Network","transatlantic policy network",""
"6616","UK Mission to the EU","uk mission to the eu",""
"6617","FIA","fia",""
"6618","Scottish Government EU Office","scottish government eu office",""
"6619","Chair","chair",""
"6620"," House of Lords EU Committee","house of lords eu committee",""
"6621","Young Journalists","young journalists",""
"6622"," European Federation of Building and Woodworkers","european federation of building and woodworkers",""
"6623","European Consumer Centre Belgium","european consumer centre belgium",""
"6624","European Council for Refugees and Exiles","european council for refugees and exiles",""
"6625","European Manufacturers Forum members","european manufacturers forum members",""
"6626","European Council of Young Farmers (CEJA)","european council of young farmers ceja",""
"6627","Atlantic Council","atlantic council",""
"6628","Allianz Global Investors","allianz global investors",""
"6629"," Cassa Depositi Prestiti","cassa depositi prestiti",""
"6630"," European Banking Federation","european banking federation",""
"6631"," Generali Group","generali group",""
"6632"," KREAB","kreab",""
"6633","European Manufacturers Forum","european manufacturers forum",""
"6634","Financial Services Annual Forum","financial services annual forum",""
"6635","Netherlands British Chamber of Commerce (NBCC)","netherlands british chamber of commerce nbcc",""
"6636"," Jacques Delors institute","jacques delors institute",""
"6637","ECIPE","ecipe",""
"6638","Center for European Policy Studies","center for european policy studies",""
"6639","Capital Group","capital group",""
"6640","ExportUSA","exportusa",""
"6641","NHK broadcasting","nhk broadcasting",""
"6642","Handelsbanken","handelsbanken",""
"6643","Office of the Permanent Representative","office of the permanent representative",""
"6644"," European Investment Bank","european investment bank",""
"6645","Swiss Ambassador to Poland","swiss ambassador to poland",""
"6646","Business Science Poland","business science poland",""
"6647"," Grupa Azoty","grupa azoty",""
"6648"," KGHM Polska Miedz S.A.","kghm polska miedz s a",""
"6649","Barcelona future","barcelona future",""
"6650"," Football Club Barcelona","football club barcelona",""
"6651"," Foment","foment",""
"6652"," Catalan Film Academy","catalan film academy",""
"6653"," ADIPAV","adipav",""
"6654"," La Mallorquina","la mallorquina",""
"6655"," Boza Abogados","boza abogados",""
"6656"," LEITAT","leitat",""
"6657"," ICAB","icab",""
"6658"," Catalan Council for Scientific Communication","catalan council for scientific communication",""
"6659"," Port of Barcelona","port of barcelona",""
"6660"," Gremi d’Hotels","gremi d hotels",""
"6661"," Fundació Lluita contra la Sida","fundació lluita contra la sida",""
"6662"," Convent de Santa Clara Foundation","convent de santa clara foundation",""
"6663"," Confederació d’Associacions Veïnals de Catalunya","confederació d associacions veïnals de catalunya",""
"6664"," Comissions Obreres in Catalonia","comissions obreres in catalonia",""
"6665"," Roman y Asociados","roman y asociados",""
"6666"," Taula del Tercer Sector","taula del tercer sector",""
"6667"," Barcelona Tech City","barcelona tech city",""
"6668","Group BPCE","group bpce",""
"6669"," S&P Global","s p global",""
"6670"," ICI Global","ici global",""
"6671"," VISA","visa",""
"6672"," Better Finance","better finance",""
"6673","Polityka Insight","polityka insight",""
"6674","The Federation of Polish Student Societies in the UK","the federation of polish student societies in the uk",""
"6675","Discovery Inc.","discovery inc",""
"6676","Insurance Europe","insurance europe",""
"6677","Polish University of three generation","polish university of three generation",""
"6678","Confederation Lewiatan","confederation lewiatan",""
"6679","European Court of Auditor (ECA)","european court of auditor eca",""
"6680","Ministry of Foreign Affairs","ministry of foreign affairs",""
"6681"," Ministry of Justice","ministry of justice",""
"6682"," All-Poland Alliance of Trade Unions","all poland alliance of trade unions",""
"6683"," Warsaw School of Economics","warsaw school of economics",""
"6684"," Union of Employers' Transport and Logistics Poland","union of employers transport and logistics poland",""
"6685"," PASMI Employers' Association","pasmi employers association",""
"6686"," INFARMA","infarma",""
"6687"," Polish Horticultural Association","polish horticultural association",""
"6688"," Teva Pharmaceuticals","teva pharmaceuticals",""
"6689"," Polish economic society","polish economic society",""
"6690"," Ministry of Agriculture and Rural Development","ministry of agriculture and rural development",""
"6691"," Ministry of Science and Higher Education","ministry of science and higher education",""
"6692"," Polish Federation of Food Producers","polish federation of food producers",""
"6693"," The Ministry of Culture and National Heritage","the ministry of culture and national heritage",""
